year	IDF_val
1990	1.9795311956735393
2002	1.6703833097873786
1847	3.101747073946366
1951	2.5898637129674915
1972	2.448534560171022
1961	2.425053464321499
1973	2.381587770540409
1959	2.425053464321499
1966	2.6246258192267033
1986	2.101747073946366
1998	1.7038070652743285
1991	2.0048370609383097
1996	1.73067921167463
2006	1.5106824669198669
1992	1.8976270912904412
1983	2.305867056602291
1989	1.9634443757800848
2004	1.5832331340684787
1987	2.0505945514989845
1978	2.2566490339321095
1977	2.2124453714400554
1975	2.425053464321499
1999	1.6994856914916858
1984	2.080557774876428
1994	2.013610985245815
2003	1.5576790295960905
2005	1.5394542094898915
1952	2.6624143801161035
1929	2.8007170782823847
1940	2.7038070652743285
1985	2.0505945514989845
1950	2.8007170782823847
1971	2.3235958235627225
2001	1.6507286217909087
1968	2.473358143896055
1953	2.527715806218647
1891	3.226685810554666
1965	2.4996870826184034
1969	2.527715806218647
1976	2.402777069610347
1954	2.4996870826184034
1958	2.425053464321499
1988	2.060354388788141
1979	2.1986570869544226
1981	2.1986570869544226
1962	2.381587770540409
1937	2.7038070652743285
1899	3.226685810554666
1886	2.8007170782823847
1844	3.226685810554666
1997	1.7795277792124466
1945	2.6624143801161035
1884	3.101747073946366
2000	1.6826177662043904
1595	3.226685810554666
2007	1.4708109548821746
1995	1.8229934729935369
1955	2.473358143896055
1967	2.527715806218647
1868	3.101747073946366
1943	2.7038070652743285
1982	2.013610985245815
1813	3.402777069610347
1817	3.226685810554666
1815	3.402777069610347
1811	3.402777069610347
1980	2.185293125396441
1974	2.305867056602291
1932	2.7495645558350033
1908	2.9256558148906846
1909	3.0048370609383097
1915	2.8587090252600715
1308	3.402777069610347
1960	2.5898637129674915
1993	1.955619038268128
1963	2.425053464321499
-720	3.402777069610347
1926	2.7495645558350033
1964	2.5576790295960903
1726	3.402777069610347
1390	3.402777069610347
1850	3.226685810554666
1930	2.5576790295960903
1862	3.226685810554666
1939	2.6624143801161035
1812	3.226685810554666
1970	2.425053464321499
1956	2.4996870826184034
1947	2.5576790295960903
1606	3.226685810554666
1818	3.402777069610347
1936	2.8007170782823847
975	3.402777069610347
1667	3.402777069610347
-750	3.226685810554666
1920	2.8587090252600715
1957	2.7038070652743285
1911	3.0048370609383097
1905	2.9256558148906846
1935	2.9256558148906846
-380	3.402777069610347
1854	3.101747073946366
1900	3.0048370609383097
1876	3.226685810554666
1603	3.101747073946366
1601	3.402777069610347
1949	2.8007170782823847
1838	3.402777069610347
1931	3.0048370609383097
1860	3.226685810554666
2008	1.4366353368713147
1852	3.402777069610347
1859	2.9256558148906846
1598	3.402777069610347
1925	2.6624143801161035
1946	2.8007170782823847
1922	2.8007170782823847
1918	3.226685810554666
1866	3.226685810554666
1600	3.226685810554666
1856	3.402777069610347
1897	3.0048370609383097
1871	2.9256558148906846
1942	2.5898637129674915
1865	3.226685810554666
1719	3.402777069610347
1883	3.101747073946366
1849	3.226685810554666
1513	3.402777069610347
1938	2.5576790295960903
1916	3.402777069610347
1906	2.9256558148906846
1814	3.402777069610347
1831	3.402777069610347
1903	3.226685810554666
2009	1.4582943974601787
1880	3.101747073946366
1877	3.226685810554666
1599	3.101747073946366
1759	3.402777069610347
1593	3.402777069610347
1904	3.0048370609383097
1927	2.7038070652743285
1933	3.0048370609383097
1851	3.226685810554666
1881	3.226685810554666
1892	3.101747073946366
1914	3.0048370609383097
-430	3.402777069610347
1864	3.226685810554666
1835	3.226685810554666
1923	2.9256558148906846
1934	2.7038070652743285
1887	3.101747073946366
1874	3.101747073946366
1882	3.402777069610347
1605	3.402777069610347
1948	2.5898637129674915
1895	2.8587090252600715
1894	2.9256558148906846
1869	3.226685810554666
1596	3.402777069610347
1843	3.0048370609383097
1902	3.101747073946366
1901	3.0048370609383097
-560	3.402777069610347
1872	3.101747073946366
2010	1.4863231210604222
-500	3.101747073946366
1623	3.226685810554666
-17	3.402777069610347
-300	3.402777069610347
2011	1.4632578169917287
1941	2.8587090252600715
\N	3.101747073946366
1830	3.226685810554666
2012	1.545444573179079
2013	1.5106824669198669
2014	1.6584840864876709
2015	1.9962368891763922
2016	2.402777069610347
1853	2.9256558148906846
1879	3.402777069610347
1913	3.101747073946366
1910	3.101747073946366
1919	2.9256558148906846
1722	3.402777069610347
1912	2.9256558148906846
1944	2.8007170782823847
1842	3.101747073946366
-431	3.402777069610347
1604	3.402777069610347
1320	3.402777069610347
1776	3.226685810554666
8	3.402777069610347
1890	2.9256558148906846
1837	3.402777069610347
1924	2.8007170782823847
-458	3.226685810554666
1820	3.226685810554666
1889	3.226685810554666
1893	3.101747073946366
1796	3.402777069610347
1898	3.402777069610347
1749	3.402777069610347
-400	3.402777069610347
1590	3.402777069610347
1848	3.101747073946366
1921	3.226685810554666
1781	3.402777069610347
1774	3.402777069610347
1834	3.402777069610347
-441	3.402777069610347
1928	3.101747073946366
-762	3.402777069610347
1839	3.226685810554666
1896	3.402777069610347
1592	3.402777069610347
-350	3.402777069610347
1833	3.226685810554666
1807	3.402777069610347
1855	3.226685810554666
1651	3.402777069610347
1907	3.402777069610347
1845	3.101747073946366
1637	3.402777069610347
1826	3.402777069610347
1787	3.402777069610347
1689	3.402777069610347
1597	3.402777069610347
1857	3.402777069610347
1798	3.402777069610347
1789	3.402777069610347
1767	3.402777069610347
1846	3.402777069610347
1664	3.402777069610347
609	3.402777069610347
1878	3.402777069610347
-411	3.226685810554666
1840	3.226685810554666
1832	3.402777069610347
180	3.402777069610347
1819	3.226685810554666
1353	3.402777069610347
1885	3.0048370609383097
1516	3.402777069610347
1748	3.402777069610347
1666	3.402777069610347
1861	3.402777069610347
1917	3.402777069610347
800	3.402777069610347
1120	3.402777069610347
1729	3.402777069610347
1808	3.402777069610347
1782	3.402777069610347
-1750	3.402777069610347
1888	3.226685810554666
1485	3.402777069610347
1762	3.402777069610347
1836	3.402777069610347
-440	3.402777069610347
